IndexCode,Year,Wert
VPI_2000,2019,142.9
VPI_2000,2020,145.0
VPI_2000,2021,149.0
VPI_2000,2022,161.8
VPI_2000,2023,174.4
VPI_2000,2024,179.5
VPI_2000,2025,185.8
VPI_2005,2005,100.0
VPI_2005,2006,101.5
VPI_2005,2007,103.7
VPI_2005,2008,107.0
VPI_2005,2009,107.5
VPI_2005,2010,109.5
VPI_2005,2011,113.1
VPI_2005,2012,115.9
VPI_2005,2013,118.2
VPI_2005,2014,120.1
VPI_2005,2015,121.2
VPI_2005,2016,122.3
VPI_2005,2017,124.8
VPI_2005,2018,127.3
VPI_2005,2019,129.3
VPI_2005,2020,131.2
VPI_2005,2021,134.8
VPI_2005,2022,146.4
VPI_2005,2023,157.8
VPI_2005,2024,162.4
VPI_2005,2025,168.2
VPI_2010,2010,100.0
VPI_2010,2011,103.3
VPI_2010,2012,105.8
VPI_2010,2013,107.9
VPI_2010,2014,109.7
VPI_2010,2015,110.7
VPI_2010,2016,111.7
VPI_2010,2017,114.0
VPI_2010,2018,116.3
VPI_2010,2019,118.1
VPI_2010,2020,119.8
VPI_2010,2021,123.1
VPI_2010,2022,133.6
VPI_2010,2023,144.1
VPI_2010,2024,148.3
VPI_2010,2025,153.5
VPI_2015,2015,100.0
VPI_2015,2016,100.9
VPI_2015,2017,103.0
VPI_2015,2018,105.1
VPI_2015,2019,106.7
VPI_2015,2020,108.2
VPI_2015,2021,111.2
VPI_2015,2022,120.7
VPI_2015,2023,130.1
VPI_2015,2024,134.0
VPI_2015,2025,138.7
VPI_2020,2020,100.0
VPI_2020,2021,102.8
VPI_2020,2022,111.6
VPI_2020,2023,120.3
VPI_2020,2024,123.8
VPI_2020,2025,128.2
VPI_2025,2025,100.0
